net,length_um
_14775_,278.08
u_auth_fsm.aes_plaintext\[7\],277.97
_16037_,277.87
_15790_,277.72
_19705_,277.585
_05502_,277.58
_05702_,277.55
_05819_,277.29
_15812_,277.19
_04541_,277.16
_16905_,277.005
_12603_,276.875
_15648_,276.66
_13957_,276.48
_11129_,276.28
_10589_,276.06
_06123_,275.84
_16575_,275.675
_03755_,275.36
_06935_,275.24
u_auth_fsm.aes_plaintext\[30\],275.09
_17373_,275.05
_17706_,274.69
u_aes128.gen_state_sbox\[8\].sb_state.in\[5\],274.63
_19584_,274.57
u_auth_fsm.aes_plaintext\[39\],274.38
u_auth_fsm.aes_plaintext\[31\],274.34
u_auth_fsm.aes_plaintext\[26\],273.94
_18243_,273.78
net296,273.73
_06122_,273.5
_18510_,273.485
fifo_nonce\[0\]\[89\],273.4
_16996_,273.34
_05815_,273.26
_13636_,272.97
_12555_,272.76
_13364_,272.71
fifo_nonce\[0\]\[69\],272.625
_11402_,272.53
u_auth_fsm.aes_plaintext\[38\],272.36
_17744_,272.08
_06592_,272.01
_14841_,271.88
_18168_,271.88
_03858_,271.81
u_auth_fsm.aes_plaintext\[61\],271.81
_03678_,270.86
_17769_,270.52
_16888_,270.18
_16597_,270.08
fifo_nonce\[0\]\[114\],270.08
_10098_,269.88
_05455_,269.69
_00011_,269.63
_19044_,269.57
_18235_,269.28
u_auth_fsm.aes_plaintext\[24\],268.96
net14,268.945
_05536_,268.875
_15251_,268.52
fifo_nonce\[0\]\[93\],268.505
u_auth_fsm.aes_plaintext\[3\],268.02
_18113_,267.56
_15348_,267.4
_05581_,266.88
_04519_,266.79
_12585_,266.57
fifo_nonce\[0\]\[118\],266.37
_07586_,266.3
_13989_,266.28
_08391_,266.18
_06629_,266.04
_07240_,265.99
_07019_,265.92
_18144_,265.86
_05738_,265.7
_09746_,265.17
_10368_,264.96
_11013_,264.87
_05388_,264.725
u_cmd_parser.challenge_nonce\[28\],264.62
fifo_nonce\[0\]\[96\],264.59
_12611_,264.575
_18090_,264.42
_14491_,264.35
_05501_,263.915
_12729_,263.75
_05951_,263.44
_17462_,263.44
_07779_,263.11
_12970_,262.955
_19577_,262.94
u_uart_rx.rx_d2,262.77
_04799_,262.54
fifo_nonce\[0\]\[117\],262.44
_17192_,262.375
net44,262.37
_17472_,262.28
_06669_,262.26
_18193_,262.1
_15370_,261.66
fifo_nonce\[0\]\[116\],261.58
_10152_,261.49
u_auth_fsm.aes_plaintext\[33\],261.19
net399,261.17
u_cmd_parser.challenge_nonce\[106\],260.98
_07098_,260.86
_09358_,260.83
_09479_,260.8
fifo_nonce\[0\]\[111\],260.42
_17992_,260.38
_16977_,260.16
_05496_,260.05
_12995_,260.005
_07743_,259.71
_07134_,259.04
_06880_,258.94
_05411_,258.92
_16553_,258.85
_06420_,258.745
fifo_nonce\[0\]\[91\],258.18
fifo_nonce\[0\]\[60\],258.12
net26,257.87
_15262_,257.52
fifo_nonce\[0\]\[64\],257.5
_15897_,257.47
_17480_,257.36
_06375_,257.19
_13038_,257.18
_07335_,257.09
_12607_,257.02
_17614_,256.88
_08575_,256.7
_14834_,256.58
u_auth_fsm.aes_plaintext\[13\],256.34
fifo_nonce\[0\]\[66\],256.33
_18353_,256.16
_08636_,255.89
_05816_,255.84
_17395_,255.68
_09445_,255.515
_17982_,255.28
_11376_,255.26
_08598_,254.88
_15908_,254.36
_09007_,254.28
_10957_,254.22
_17557_,253.7
_10134_,253.68
_18563_,253.62
_17404_,253.42
_10585_,253.41
fifo_nonce\[0\]\[95\],253.32
_08590_,253.19
net232,253.03
_06080_,252.82
_17071_,252.76
_13444_,252.75
_10331_,252.5
_12232_,252.49
net73,252.49
net10,251.89
_08859_,251.215
_09041_,251.1
_08589_,250.91
u_cmd_parser.challenge_nonce\[99\],250.87
_07720_,250.82
_06730_,250.68
_06401_,250.67
_12426_,250.66
_06703_,250.62
_13390_,250.59
_17809_,250.04
_13931_,249.82
_10569_,249.8
_10555_,249.74
_10537_,249.73
_10703_,249.52
_08586_,249.44
_09166_,249.065
_10977_,249.005
_13809_,248.93
u_cmd_parser.challenge_nonce\[7\],248.66
_06600_,248.645
fifo_nonce\[0\]\[94\],248.53
_08305_,248.38
_18034_,247.95
_18077_,247.76
_06668_,247.68
_12636_,247.3
_14825_,247.28
_04974_,247.16
_07376_,247.16
_05100_,246.98
_15392_,246.64
_08139_,246.61
_09840_,246.52
_12458_,246.52
_13128_,246.51
_11018_,246.345
_10671_,246.315
_07867_,246.25
_03849_,245.82
_12957_,245.81
_08828_,245.77
_07730_,245.6
fifo_nonce\[0\]\[102\],245.55
u_auth_fsm.aes_plaintext\[14\],245.435
_14452_,245.32
_06359_,245.19
_14920_,244.95
_10284_,244.84
_05451_,244.82
_06163_,244.47
_14372_,244.24
_07097_,244.145
_07654_,244.12
_07543_,244.05
_17209_,243.96
net380,243.75
_13564_,243.56
_08518_,243.43
u_auth_fsm.aes_plaintext\[16\],243.28
_08191_,243.23
_05745_,243.08
_13775_,242.78
_05847_,242.71
